Date,Rate/night
2024-09-05,
2024-09-06,
2024-09-07,
2024-09-08,
2024-09-09,
2024-09-10,
2024-09-11,
2024-09-12,
2024-09-13,
2024-09-14,
2024-09-15,
2024-09-16,232.5
2024-09-17,232.5
2024-09-18,232.5
2024-09-19,232.5
2024-09-20,232.5
2024-09-21,232.5
2024-09-22,232.5
2024-09-23,232.5
2024-09-24,232.5
2024-09-25,232.5
2024-09-26,232.5
2024-09-27,232.5
2024-09-28,251.5
2024-09-29,270.5
2024-09-30,289.5
2024-10-01,308.5
2024-10-02,308.5
