Date,Rate/night
2024-07-01,405.3333333333333
2024-07-02,405.3333333333333
2024-07-03,405.3333333333333
2024-07-04,405.3333333333333
2024-07-05,405.3333333333333
2024-07-06,405.3333333333333
2024-07-07,405.3333333333333
2024-07-08,405.3333333333333
2024-07-09,405.3333333333333
2024-07-10,405.3333333333333
2024-07-11,405.3333333333333
2024-07-12,405.3333333333333
2024-07-13,405.3333333333333
2024-07-14,405.3333333333333
2024-07-15,405.3333333333333
2024-07-16,405.3333333333333
2024-07-17,405.3333333333333
2024-07-18,405.3333333333333
2024-07-19,405.3333333333333
2024-07-20,405.3333333333333
2024-07-21,405.3333333333333
2024-07-22,405.3333333333333
2024-07-23,405.3333333333333
2024-07-24,405.3333333333333
2024-07-25,405.3333333333333
2024-07-26,405.3333333333333
2024-07-27,405.3333333333333
2024-07-28,405.3333333333333
2024-07-29,405.3333333333333
2024-07-30,405.3333333333333
2024-07-31,405.3333333333333
